epsilon,attack,accuracy,arch,train_eps
0.0,Clean,0.6957,smallcnn,0.04
0.01,Clean,0.6957,smallcnn,0.04
0.01,FGSM,0.5273,smallcnn,0.04
0.01,PGD-10,0.4575,smallcnn,0.04
0.01,PGD-40,0.4437,smallcnn,0.04
0.02,Clean,0.6957,smallcnn,0.04
0.02,FGSM,0.457,smallcnn,0.04
0.02,PGD-10,0.3084,smallcnn,0.04
0.02,PGD-40,0.2821,smallcnn,0.04
0.04,Clean,0.6957,smallcnn,0.04
0.04,FGSM,0.3849,smallcnn,0.04
0.04,PGD-10,0.166,smallcnn,0.04
0.04,PGD-40,0.1226,smallcnn,0.04
0.08,Clean,0.6957,smallcnn,0.04
0.08,FGSM,0.2487,smallcnn,0.04
0.08,PGD-10,0.0201,smallcnn,0.04
0.08,PGD-40,0.0066,smallcnn,0.04
