epsilon,attack,ECE,NLL,arch,train_eps
0.04,PGD-10,0.9998488155663012,31.26631192626953,resnet18,0.08
0.08,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.08,FGSM,0.2541954224720597,1.8183995542526248,resnet18,0.08
0.08,PGD-10,0.9999971389770508,38.93554925537109,resnet18,0.08
0.0,Clean,0.129420587952435,0.8998890080451966,resnet18,0.0
0.01,Clean,0.129420587952435,0.8998890080451966,resnet18,0.0
0.01,FGSM,0.8031720688819886,10.60162670440674,resnet18,0.0
0.01,PGD-10,0.943113507810235,16.6507805267334,resnet18,0.0
0.02,Clean,0.129420587952435,0.8998890080451966,resnet18,0.0
0.02,FGSM,0.9058644785225392,16.061397123718262,resnet18,0.0
0.02,PGD-10,0.99927354362607,32.903442291259765,resnet18,0.0
0.04,Clean,0.129420587952435,0.8998890080451966,resnet18,0.0
0.04,FGSM,0.9365044233918188,18.45209011230469,resnet18,0.0
0.04,PGD-10,0.9999998807907104,51.000924609375,resnet18,0.0
0.08,Clean,0.129420587952435,0.8998890080451966,resnet18,0.0
0.08,FGSM,0.9057321083843708,16.490275201416015,resnet18,0.0
0.08,PGD-10,0.9999998807907104,65.22383215332032,resnet18,0.0
0.0,Clean,0.0336549375623464,0.7194145992279053,smallcnn,0.01
0.01,Clean,0.0336549375623464,0.7194145992279053,smallcnn,0.01
0.01,FGSM,0.1226235230922699,1.3102358266830445,smallcnn,0.01
0.01,PGD-10,0.1625427393436432,1.4131408184051513,smallcnn,0.01
0.02,Clean,0.0336549375623464,0.7194145992279053,smallcnn,0.01
0.02,FGSM,0.2771499473109841,1.9555437320709228,smallcnn,0.01
0.02,PGD-10,0.4068279256418347,2.4552199966430663,smallcnn,0.01
0.04,Clean,0.0336549375623464,0.7194145992279053,smallcnn,0.01
0.04,FGSM,0.4818108317717909,3.1541770294189453,smallcnn,0.01
0.04,PGD-10,0.7538712592631579,5.381998657226562,smallcnn,0.01
0.08,Clean,0.0336549375623464,0.7194145992279053,smallcnn,0.01
0.08,FGSM,0.620510872399807,4.703957989501953,smallcnn,0.01
0.08,PGD-10,0.9369576432704928,12.40242137298584,smallcnn,0.01
0.0,Clean,0.0755789919912815,0.8387877005577088,smallcnn,0.02
0.01,Clean,0.0755789919912815,0.8387877005577088,smallcnn,0.02
0.01,FGSM,0.0457518048822879,1.2233436470031738,smallcnn,0.02
0.01,PGD-10,0.0651208370834589,1.2717721816062928,smallcnn,0.02
0.02,Clean,0.0755789919912815,0.8387877005577088,smallcnn,0.02
0.02,FGSM,0.1564448719084263,1.6196753429412842,smallcnn,0.02
0.02,PGD-10,0.2353605004221201,1.8411664932250975,smallcnn,0.02
0.04,Clean,0.0755789919912815,0.8387877005577088,smallcnn,0.02
0.04,FGSM,0.3350304952323436,2.3680716400146484,smallcnn,0.02
0.04,PGD-10,0.5453442657828331,3.383004847717285,smallcnn,0.02
0.08,Clean,0.0755789919912815,0.8387877005577088,smallcnn,0.02
0.08,FGSM,0.5013390210390091,3.477050106811524,smallcnn,0.02
0.08,PGD-10,0.8236976755633949,7.435335414123535,smallcnn,0.02
0.0,Clean,0.0298735682994127,0.8638815631866456,smallcnn,0.04
0.01,Clean,0.0298735682994127,0.8638815631866456,smallcnn,0.04
0.01,FGSM,0.0616819034993648,1.3284296667098998,smallcnn,0.04
0.01,PGD-10,0.1399858619555831,1.5855103960037231,smallcnn,0.04
0.02,Clean,0.0298735682994127,0.8638815631866456,smallcnn,0.04
0.02,FGSM,0.0558737048119306,1.4795804077148438,smallcnn,0.04
0.02,PGD-10,0.2658468037039042,2.233997734451294,smallcnn,0.04
0.04,Clean,0.0298735682994127,0.8638815631866456,smallcnn,0.04
0.04,FGSM,0.0460883869364857,1.6274448780059814,smallcnn,0.04
0.04,PGD-10,0.3857682084053755,3.134809185028076,smallcnn,0.04
0.08,Clean,0.0298735682994127,0.8638815631866456,smallcnn,0.04
0.08,FGSM,0.1711670320287346,2.041674134063721,smallcnn,0.04
0.08,PGD-10,0.5508305606603623,4.635649761199951,smallcnn,0.04
0.0,Clean,0.0125694402009248,0.8140116847991944,smallcnn,0.08
0.01,Clean,0.0125694402009248,0.8140116847991944,smallcnn,0.08
0.01,FGSM,0.3593455726534128,2.253225829315185,smallcnn,0.08
0.01,PGD-10,0.5132023811176419,2.9035872680664063,smallcnn,0.08
0.02,Clean,0.0125694402009248,0.8140116847991944,smallcnn,0.08
0.02,FGSM,0.51827186409235,3.280503115844726,smallcnn,0.08
0.02,PGD-10,0.8122171249851584,5.764199462127686,smallcnn,0.08
0.04,Clean,0.0125694402009248,0.8140116847991944,smallcnn,0.08
0.04,FGSM,0.4305803511485457,3.010581642150879,smallcnn,0.08
0.04,PGD-10,0.943118392661214,10.720622479248046,smallcnn,0.08
0.08,Clean,0.0125694402009248,0.8140116847991944,smallcnn,0.08
0.08,FGSM,0.0443733695238828,0.5253396879196167,smallcnn,0.08
0.08,PGD-10,0.9908668960094452,20.37263853149414,smallcnn,0.08
0.0,Clean,0.0440132712185382,0.6886672166824341,smallcnn,0.0
0.01,Clean,0.0440132712185382,0.6886672166824341,smallcnn,0.0
0.01,FGSM,0.422146383844316,2.621870037078857,smallcnn,0.0
0.01,PGD-10,0.5739825872153044,3.45619948348999,smallcnn,0.0
0.02,Clean,0.0440132712185382,0.6886672166824341,smallcnn,0.0
0.02,FGSM,0.6221297863408923,4.412512783813477,smallcnn,0.0
0.02,PGD-10,0.8784953919649123,7.663546571350098,smallcnn,0.0
0.04,Clean,0.0440132712185382,0.6886672166824341,smallcnn,0.0
0.04,FGSM,0.758307761913538,6.524217869567871,smallcnn,0.0
0.04,PGD-10,0.9846896141141652,16.115370910644533,smallcnn,0.0
0.08,Clean,0.0440132712185382,0.6886672166824341,smallcnn,0.0
0.08,FGSM,0.7710229977190495,7.754780599975586,smallcnn,0.0
0.08,PGD-10,0.9980592892229556,30.748001611328124,smallcnn,0.0
