epsilon,attack,accuracy,arch,train_eps
0.0,Clean,0.7118,smallcnn,0.02
0.01,Clean,0.7118,smallcnn,0.02
0.01,FGSM,0.5445,smallcnn,0.02
0.01,PGD-10,0.5236,smallcnn,0.02
0.01,PGD-40,0.5202,smallcnn,0.02
0.02,Clean,0.7118,smallcnn,0.02
0.02,FGSM,0.4116,smallcnn,0.02
0.02,PGD-10,0.3443,smallcnn,0.02
0.02,PGD-40,0.3305,smallcnn,0.02
0.04,Clean,0.7118,smallcnn,0.02
0.04,FGSM,0.2279,smallcnn,0.02
0.04,PGD-10,0.1063,smallcnn,0.02
0.04,PGD-40,0.0829,smallcnn,0.02
0.08,Clean,0.7118,smallcnn,0.02
0.08,FGSM,0.0826,smallcnn,0.02
0.08,PGD-10,0.0033,smallcnn,0.02
0.08,PGD-40,0.0013,smallcnn,0.02
