epsilon,attack,ECE,NLL,arch,train_eps
0.0,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.01,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.01,FGSM,0.7829771382123232,8.552494149780273,resnet18,0.08
0.01,PGD-10,0.9548884921461344,15.06356040649414,resnet18,0.08
0.02,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.02,FGSM,0.7694660175740718,8.193025538635254,resnet18,0.08
0.02,PGD-10,0.9954084218323229,23.718482400512695,resnet18,0.08
0.04,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.04,FGSM,0.41566290194988254,3.2034680351257325,resnet18,0.08
0.04,PGD-10,0.9998488155663013,31.26631192626953,resnet18,0.08
0.08,Clean,0.1607848198339343,1.1265764081478118,resnet18,0.08
0.08,FGSM,0.25419542247205973,1.8183995542526246,resnet18,0.08
0.08,PGD-10,0.9999971389770508,38.93554925537109,resnet18,0.08
