epsilon,attack,ECE,NLL,arch,train_eps
0.0,Clean,0.07557899199128153,0.8387877005577088,smallcnn,0.02
0.01,Clean,0.07557899199128153,0.8387877005577088,smallcnn,0.02
0.01,FGSM,0.045751779830455766,1.2233436470031738,smallcnn,0.02
0.01,PGD-40,0.06874368047863244,1.2803088681221009,smallcnn,0.02
0.02,Clean,0.07557899199128153,0.8387877005577088,smallcnn,0.02
0.02,FGSM,0.1564449041128159,1.6196753826141357,smallcnn,0.02
0.02,PGD-40,0.254847085018456,1.892469443511963,smallcnn,0.02
0.04,Clean,0.07557899199128153,0.8387877005577088,smallcnn,0.02
0.04,FGSM,0.3350305648267269,2.3680716400146484,smallcnn,0.02
0.04,PGD-40,0.6059203005880117,3.703102976989746,smallcnn,0.02
0.08,Clean,0.07557899199128153,0.8387877005577088,smallcnn,0.02
0.08,FGSM,0.5013390804052352,3.477049771118164,smallcnn,0.02
0.08,PGD-40,0.8880818413764238,8.83391826019287,smallcnn,0.02
