epsilon,attack,accuracy,arch,train_eps
0.0,Clean,0.7477,smallcnn,0.01
0.01,Clean,0.7477,smallcnn,0.01
0.01,FGSM,0.5363,smallcnn,0.01
0.01,PGD-10,0.5005,smallcnn,0.01
0.01,PGD-40,0.4954,smallcnn,0.01
0.02,Clean,0.7477,smallcnn,0.01
0.02,FGSM,0.3637,smallcnn,0.01
0.02,PGD-10,0.2727,smallcnn,0.01
0.02,PGD-40,0.2502,smallcnn,0.01
0.04,Clean,0.7477,smallcnn,0.01
0.04,FGSM,0.1663,smallcnn,0.01
0.04,PGD-10,0.0462,smallcnn,0.01
0.04,PGD-40,0.0299,smallcnn,0.01
0.08,Clean,0.7477,smallcnn,0.01
0.08,FGSM,0.0492,smallcnn,0.01
0.08,PGD-10,0.0005,smallcnn,0.01
0.08,PGD-40,0.0002,smallcnn,0.01
