epsilon,attack,ECE,NLL,arch,train_eps
0.0,Clean,0.09627760054767129,0.7531101895809174,resnet18,0.04
0.01,Clean,0.09627760054767129,0.7531101895809174,resnet18,0.04
0.01,FGSM,0.025851436415314663,1.031786988067627,resnet18,0.04
0.01,PGD-10,0.022520474344491958,1.0470525504112245,resnet18,0.04
0.02,Clean,0.09627760054767129,0.7531101895809174,resnet18,0.04
0.02,FGSM,0.06795083592385052,1.352919394302368,resnet18,0.04
0.02,PGD-10,0.1053331614613533,1.4493575677871704,resnet18,0.04
0.04,Clean,0.09627760054767129,0.7531101895809174,resnet18,0.04
0.04,FGSM,0.2290575945466757,2.047960121154785,resnet18,0.04
0.04,PGD-10,0.3963232545316219,2.7630330139160155,resnet18,0.04
0.08,Clean,0.09627760054767129,0.7531101895809174,resnet18,0.04
0.08,FGSM,0.43033773820102217,3.310542687225342,resnet18,0.04
0.08,PGD-10,0.7829074444741011,8.402108837890625,resnet18,0.04
